instance,solver,rate reason-deletions,rate time,rate d-time
Nb42T6,Maple_CM_Dist@default,1,435.44,418.36
Nb54T6,Maple_LCM+BCrestart@default,0,982.68,966.04
e_rphp055_04,CaDiCaL@DONTUNZIP-fixed,189,505.23,488.69
Nb52T6,MapleLCMDistChronoBT@default,0,925.12,908.63
quadratic_loose_error.c,smallsat@default,478,218.44,202.18
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,Lingeling@default,38,193.10,177.21
T96.2.0,CaDiCaL@DONTUNZIP-fixed,10462,1137.03,1121.22
huck.col.11,Sparrow2Riss-2018-fixfix@MAIN,0,924.04,908.31
gto_p60c231,abcdsat_r18@default,3,1253.24,1237.69
Nb49T6,MapleCOMSPS_LRB_VSIDS_drup@LRB_VSIDS_drup,0,847.06,832.22
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,Riss7.1-fix@BVE_DRAT,831,124.51,109.83
Nb42T6,expMC_LRB_VSIDS_Switch_2500@default,0,470.07,455.87
T87.2.0,Lingeling@default,1886,590.40,576.30
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,GHackCOMSPS_drup@ghack_drup,864,604.43,590.46
gto_p60c241,cms55-main-all4fixed@main,25,487.05,473.18
Nb39T6,expMC_VSIDS_LRB_Switch_2500@default,0,505.97,492.30
Nb39T6,COMiniSatPS_Pulsar_drup@drup,0,305.44,291.80
terminator_03_true-unreach-call_true-termination.i,smallsat@default,144,193.52,180.09
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,MapleCOMSPS_LRB_VSIDS_drup@LRB_VSIDS_drup,893,205.08,192.32
prime_119218851371,abcdsat_r18@default,194,610.73,597.99
Nb29T6,Maple_CM_ordUIP+@default,0,514.63,501.95
gto_p60c231,varisat@default,0,440.49,427.84
Nb27T6,Maple_LCM_M1@default,0,215.31,202.82
Nb39T6,MapleLCMDistChronoBT@default,0,329.37,316.95
Nb39T6,Maple_LCM_M1@default,0,418.91,406.66
Nb42T6,Maple_CM_ordUIP+@default,0,501.84,489.61
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,MapleLCMDistChronoBT@default,893,108.99,96.90
Nb27T6,abcdsat_r18@default,3,857.30,845.34
Nb29T6,MapleCOMSPS_CHB_VSIDS_drup@CHB_VSIDS_drup,0,300.88,289.16
Nb29T6,Maple_CM_ordUIP@default,0,488.73,477.02
huck.col.11,cms55-main-all4fixed@otherconf,0,113.29,101.64
gto_p60c231_1,abcdsat_r18@default,3,1080.57,1069.02
