instance,solver,rate result,rate d-result,rate reason-deletions,rate time,rate d-time
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,MapleCOMSPS_LRB_VSIDS_drup@LRB_VSIDS_drup,lrat-check pending,lrat-check pending,862,12.28,11.75
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,Maple_LCM+BCrestart@default,lrat-check pending,lrat-check pending,862,9.42,7.69
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,Maple_LCM+BCrestart_M1@default,lrat-check pending,lrat-check pending,862,8.68,8.75
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,MapleLCMDistChronoBT@default,lrat-check pending,lrat-check pending,862,10.93,11.21
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,Maple_LCM_M1@default,lrat-check pending,lrat-check pending,862,8.44,10.97
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,Maple_LCM_Scavel_200_fix2@default,lrat-check pending,lrat-check pending,862,16.08,14.92
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,Maple_LCM_Scavel_fix2@default,lrat-check pending,lrat-check pending,862,14.56,15.96
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,Minisat-v2.2.0-106-ge2dd095@simp_proof,lrat-check pending,lrat-check pending,866,444.38,452.69
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,Riss7.1-fix@BVE_DRAT,lrat-check pending,lrat-check pending,864,146.45,136.87
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,smallsat@default,lrat-check pending,lrat-check pending,582,26.21,25.73
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,Sparrow2Riss-2018-fixfix@MAIN,lrat-check pending,lrat-check pending,864,150.18,145.46
cms-scheel-md5-families-r24-c5-p6-11-15-16-19,abcdsat_r18@default,lrat-check pending,lrat-check pending,615,561.81,572.04
cms-scheel-md5-families-r24-c5-p6-11-15-16-19,cms55-main-all4fixed@autotune,lrat-check pending,lrat-check pending,969,174.70,178.14
