instance,solver,rate time,rate d-time,gratgen time,drat-trim time,rate space,rate d-space,gratgen space,drat-trim space
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,MapleCOMSPS_LRB_VSIDS_drup@LRB_VSIDS_drup,131.23,141.65,108.24,123.50,795.2,795.1,1394.1,774.4
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,Maple_LCM+BCrestart@default,120.82,121.10,90.26,103.51,715.3,715.3,1284.7,694.5
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,Maple_LCM+BCrestart_M1@default,1.01,1.05,0.60,0.82,66.4,66.5,30.9,72.1
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,Maple_LCM_M1@default,1.19,1.02,0.70,0.78,65.7,66.4,30.9,72.1
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,Maple_LCM_Scavel_200_fix2@default,212.94,210.65,162.46,193.06,1111.4,1111.4,2040.6,1090.9
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,smallsat@default,485.70,483.12,613.92,748.62,2005.7,2005.7,3785.5,1989.0
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,Sparrow2Riss-2018-fixfix@MAIN,138.13,137.19,122.70,122.22,776.9,777.2,1344.9,756.0
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,varisat@default,568.92,574.03,482.79,546.90,3315.3,3315.3,6295.9,3307.7
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,CaDiCaL@DONTUNZIP-fixed,0.98,1.01,0.79,0.89,66.5,66.6,30.9,71.6
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,abcdsat_r18@default,0.90,0.92,1.06,1.07,67.6,68.4,35.4,72.4
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,cms55-main-all4fixed@autotune,31.54,31.36,24.27,26.79,329.2,329.4,486.4,311.2
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,cms55-main-all4fixed@glubreak,1.87,1.86,1.30,1.64,80.6,79.8,52.0,83.3
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,cms55-main-all4fixed@main,19.49,21.34,14.87,15.82,242.2,242.4,320.2,228.3
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,cms55-main-all4fixed@otherconf,12.90,12.04,8.69,10.41,182.1,182.1,210.4,172.4
